mileage,average,max,min
1200,104.46,505.84,0.0
10000,36.99,161.32,0.0
20000,174.5,1712.0,0.0
30000,178.07,673.04,0.0
120000,1683.82,1747.16,1451.56
15000,49.74,215.08,0.0
37000,482.02,482.02,482.02
60000,673.04,673.04,673.04
