mileage,average,max,min
10000,50.14140000000004,1969.0,0.0
20000,456.48708029197127,2219.8,0.0
30000,159.43000000000004,159.43,159.43
50000,181.07,228.98,133.16
60000,466.3684615384615,509.53,228.98
120000,491.8261904761907,895.2,121.85
5000,75.72,75.72,75.72
40000,133.16,133.16,133.16
45000,133.16,133.16,133.16
