Price,Miles,Trim,Year
40590,13859,Standard,2020
35990,24495,Standard,2019
37590,11085,Standard,2019
41991,18799,Standard,2020
33899,29531,Standard,2019
36899,12493,Standard,2020
37590,17609,Standard,2020
37989,15795,Standard,2019
39950,7829,Standard,2020
37900,27607,Standard,2019
48700,16520,Performance,2018
45750,21200,Performance,2018
51320,11154,Performance,2019
53099,8167,Performance,2020
48350,22368,Performance,2018
56800,5534,Performance,2020
59989,8739,Performance,2020
53995,28491,Performance,2019
52107,16431,Performance,2020
61995,19396,Performance,2020
47999,32210,Performance,2018
49995,24500,Performance,2019
62877,11195,Performance,2020
60995,5618,Performance,2020
45950,25282,Performance,2019
49995,2617,Performance,2019
53595,10500,Performance,2020
48900,16984,Performance,2018
49750,20723,Performance,2018
54987,23926,Performance,2019
47900,36350,Performance,2018
48987,21937,Performance,2019
45980,18086,Performance,2018
46498,29872,Performance,2019
55980,17980,Performance,2020
46980,17737,Performance,2018
37650,9914,Mid-Range,2019
37990,25934,Mid-Range,2018
33480,43525,Mid-Range,2018
39999,7029,Mid-Range,2018
37998,18542,Mid-Range,2018
41590,13519,Mid-Range,2018
39991,5541,Mid-Range,2019
39990,13056,Mid-Range,2018
37999,19379,Mid-Range,2018
37999,12413,Mid-Range,2019
34990,35416,Mid-Range,2018
34899,44000,Mid-Range,2019
40900,22839,Mid-Range,2018
38991,59548,Mid-Range,2018
36995,36908,Mid-Range,2019
32980,36756,Mid-Range,2018
34480,21291,Mid-Range,2018
37999,33925,Mid-Range,2019
39995,5578,Unspecified,2019
44995,17882,Unspecified,2018
41800,60305,Unspecified,2018
35970,32162,Unspecified,2019
44990,23411,Unspecified,2018
36880,15997,Unspecified,2019
37438,53223,Unspecified,2018
37490,29767,Unspecified,2019
36988,26429,Unspecified,2019
38000,23179,Unspecified,2019
39999,2804,Unspecified,2020
39448,12505,Unspecified,2019
38900,5135,Unspecified,2020
39200,11571,Unspecified,2019
38495,34485,Unspecified,2019
37990,29504,Unspecified,2019
37990,14406,Unspecified,2019
43500,18118,Unspecified,2018
41350,16096,Unspecified,2018
38312,26265,Unspecified,2018
35799,18248,Unspecified,2018
34980,54195,Unspecified,2018
36900,30479,Unspecified,2019
39542,20711,Unspecified,2019
46500,16418,Unspecified,2019
41877,9457,Unspecified,2020
39999,14072,Unspecified,2019
44981,3487,Unspecified,2020
41930,5600,Unspecified,2020
41500,14718,Unspecified,2019
37989,20588,Unspecified,2018
36480,21163,Unspecified,2018
48500,20495,Unspecified,2019
37995,18206,Unspecified,2019
38590,34863,Unspecified,2019
41800,60305,Unspecified,2018
44725,21642,Unspecified,2018
40511,16494,Unspecified,2019
44995,23272,Unspecified,2019
40578,33948,Unspecified,2019
35950,28435,Unspecified,2018
49499,16965,Unspecified,2019
38900,11947,Unspecified,2020
45798,4944,Unspecified,2020
36995,17095,Unspecified,2018
43995,30251,Unspecified,2018
46500,7714,Unspecified,2019
38988,29932,Unspecified,2018
40621,51189,Unspecified,2019
43788,6251,Unspecified,2020
39698,24228,Unspecified,2018
46514,14595,Unspecified,2018
41500,5200,Unspecified,2020
46990,12781,Unspecified,2019
37998,27877,Unspecified,2018
44985,26341,Unspecified,2019
44999,8302,Unspecified,2019
42702,60143,Unspecified,2018
46990,19673,Unspecified,2019
47998,13799,Unspecified,2019
44990,36533,Unspecified,2019
44999,21810,Unspecified,2018
42063,13200,Unspecified,2020
42740,7800,Unspecified,2020
40995,14436,Unspecified,2020
45995,26818,Unspecified,2018
34995,49094,Unspecified,2018
38961,31675,Unspecified,2019
44988,7913,Unspecified,2020
42995,34824,Unspecified,2018
47996,11844,Unspecified,2019
48850,6661,Unspecified,2019
52950,7512,Unspecified,2019
41995,12200,Unspecified,2019
47800,6196,Unspecified,2018
42998,2012,Unspecified,2020
38885,31718,Unspecified,2018
50599,5422,Unspecified,2019
43835,9236,Unspecified,2020
40500,7546,Unspecified,2019
37889,39562,Unspecified,2017
47921,13407,Unspecified,2019
37759,34319,Unspecified,2019
44083,27481,Unspecified,2019
43995,3012,Unspecified,2020
47547,20513,Unspecified,2019
38797,14858,Unspecified,2019
34000,6500,Unspecified,2018
49990,24855,Unspecified,2018
40871,13836,Unspecified,2018
47403,19618,Unspecified,2018
