Price,Miles,Trim,Year,Vin
75999,22310,100D,2018,5YJXCAE26JF122418
73990,27278,100D,2018,5YJXCDE24JF120569
59880,52743,100D,2017,5YJXCDE20HF055679
82900,7972,100D,2019,5YJXCDE25KF151993
62989,70104,100D,2017,5YJXCDE2XHF066253
60583,39806,100D,2017,5YJXCDE24HF048072
73991,19086,100D,2018,5YJXCDE20JF124473
62999,34501,100D,2017,5YJXCAE23HF057702
68990,48225,100D,2017,5YJXCAE21HF076409
69995,28860,100D,2017,5YJXCDE24HF078897
66999,27324,100D,2017,5YJXCBE29HF052378
72994,30598,100D,2018,5YJXCDE21JF133876
64995,48947,100D,2017,5YJXCBE28HF055692
84990,10025,100D,2019,5YJXCBE20KF160573
65400,62304,100D,2018,5YJXCDE2XJF089554
64457,33237,100D,2017,5YJXCBE25HF050479
75985,9146,100D,2018,5YJXCDE23JF123382
67500,24977,100D,2017,5YJXCDE24HF060674
69900,42568,100D,2018,5YJXCDE24JF088271
77400,20248,100D,2018,5YJXCAE25JF102239
77500,15488,100D,2018,5YJXCAE21JF119863
73970,28961,100D,2018,5YJXCDE24JF133712
75440,21025,100D,2018,5YJXCDE27JF088135
66599,50562,100D,2017,5YJXCDE24HF065406
72385,36142,100D,2018,5YJXCBE22JF100017
59999,59508,100D,2017,5YJXCBE29HF067401
64980,19506,100D,2017,5YJXCBE29HF074591
78981,17623,100D,2018,5YJXCBE21JF090628
56950,55406,100D,2017,5YJXCAE20HF048018
74000,28305,100D,2018,5YJXCDE22JF089239
73970,36719,100D,2018,5YJXCBE29JF109426
74500,21276,100D,2018,5YJXCBE28JF091047
70480,23778,100D,2017,5YJXCDE2XHF066480
70995,25180,100D,2017,5YJXCDE28HF040315
83500,10758,100D,2018,5YJXCAE27JF118524
70850,49295,100D,2018,5YJXCAE20JF091487
77335,38403,100D,2019,5YJXCAE24KF152907
74990,23948,100D,2018,5YJXCDE28JF101636
86900,21751,100D,2018,5YJXCDE26JF088384
69999,38038,100D,2017,5YJXCDE2XHF052501
62995,75984,100D,2017,5YJXCDE21HF049826
68989,46088,100D,2017,5YJXCAE23HF078579
67999,20258,100D,2017,5YJXCDE29HF060458
72990,19588,100D,2017,5YJXCAE28HF044038
73190,37320,100D,2017,5YJXCBE20HF066492
65499,40531,100D,2017,5YJXCDE28HF052237
79990,33808,100D,2018,5YJXCAE24JF133868
68988,45226,100D,2017,5YJXCDE25HF067035
71990,19901,100D,2017,5YJXCBE25HF074586
67990,32417,100D,2017,5YJXCBE23HF049055
62999,48140,100D,2017,5YJXCDE28HF055672
69988,25430,100D,2017,5YJXCAE21HF076488
85950,9483,100D,2019,5YJXCDE24KF188422
71999,9752,100D,2018,5YJXCBE26JF091645
78991,31281,100D,2019,5YJXCDE28KF150823
66979,38405,100D,2017,5YJXCBE2XHF040742
67989,20916,100D,2017,5YJXCBE24HF068455
79888,26515,100D,2018,5YJXCDE25JF109628
67172,35582,100D,2017,5YJXCDE28HF078529
54414,52927,90D,2016,5YJXCAE26GF004572
52999,88505,90D,2016,5YJXCAE25GF004840
54979,52609,90D,2016,5YJXCAE27GF004791
58988,21335,90D,2016,5YJXCAE23GF004903
61500,31310,90D,2016,5YJXCBE25GF005363
59900,64910,90D,2017,5YJXCAE21HF034354
61995,20487,90D,2016,5YJXCBE20GF017842
53953,63189,90D,2016,5YJXCBE22GF021794
57800,26488,90D,2016,5YJXCBE23GF007063
57900,48972,90D,2016,5YJXCBE2XGF007335
66990,16489,90D,2017,5YJXCDE25HF057721
64888,44151,90D,2017,5YJXCBE28HF054655
58950,39171,90D,2016,5YJXCAE26GF005656
59995,44292,90D,2017,5YJXCDE24HF049576
53950,59218,90D,2016,5YJXCBE25GF003497
50950,85583,90D,2016,5YJXCBE25GF008229
60881,23389,90D,2017,5YJXCDE29HF051310
52989,89099,90D,2016,5YJXCBE29GF011974
57990,44098,90D,2016,5YJXCAE27GF001552
56933,35767,90D,2016,5YJXCAE27GF007271
68990,14593,90D,2017,5YJXCBE21HF065657
58990,54568,90D,2016,5YJXCAE28GF010843
64999,52477,90D,2017,5YJXCDE27HF065660
61799,44685,90D,2016,5YJXCBE20GF031255
66990,7692,90D,2016,5YJXCDE24GF032033
56454,53850,90D,2016,5YJXCBE23GF001571
55995,57985,90D,2016,5YJXCBE22GF005840
61900,60550,90D,2017,5YJXCBE22HF047734
58990,56400,90D,2016,5YJXCBE20GF016383
70000,20956,90D,2017,5YJXCBE2XHF045620
49800,69213,90D,2016,5YJXCDE24GF026376
59977,63916,90D,2017,5YJXCAE22HF044729
66000,38768,90D,2017,5YJXCBE29HF051313
64100,44479,90D,2017,5YJXCDE22HF035773
61995,31442,90D,2016,5YJXCBE28GF002537
62995,55917,90D,2016,5YJXCBE25GF002494
62997,24755,90D,2016,5YJXCBE28GF004997
69995,21240,90D,2016,5YJXCBE2XGF015287
84997,6665,Long-Range,2020,5YJXCDE25LF300386
80991,4550,Long-Range,2020,5YJXCAE28LF286336
79700,14763,Long-Range,2019,5YJXCDE25KF184976
79988,10998,Long-Range,2019,5YJXCBE21KF180315
84990,9498,Long-Range,2020,5YJXCDE27LF281100
85000,7114,Long-Range,2020,5YJXCDE27LF237307
79982,28171,Long-Range,2020,5YJXCDE22LF262681
75880,17115,Long-Range,2019,5YJXCAE28KF160962
83986,4572,Long-Range,2019,5YJXCAE20KF188707
84369,22721,Long-Range,2020,5YJXCDE25LF216892
83999,12459,Long-Range,2019,5YJXCAE28KF188745
84990,19072,Long-Range,2020,5YJXCDE27LF236867
82384,24558,Long-Range,2020,5YJXCDE28LF236232
87982,4456,Long-Range,2020,5YJXCDE21LF238937
86980,3178,Long-Range,2020,5YJXCDE22LF300751
85995,15279,Long-Range,2020,5YJXCDE20LF249217
81286,24803,Long-Range,2019,5YJXCDE21KF191214
83950,17586,Long-Range,2019,5YJXCAE25KF185124
89680,15143,Long-Range,2019,5YJXCBE20KF211747
80000,13190,Long-Range,2019,5YJXCDE22KF147254
89800,14016,Long-Range,2020,5YJXCDE26LF276972
86999,16645,Long-Range,2020,5YJXCDE25LF236169
92988,4258,Long-Range,2020,5YJXCAE22LF262274
85977,17841,Long-Range,2020,5YJXCDE25LF233157
89900,20114,Long-Range,2020,5YJXCBE26LF231292
89900,20114,Long-Range,2020,5YJXCBE26LF231292
89995,14060,Long-Range,2020,5YJXCDE27LF230941
84998,27320,Long-Range,2019,5YJXCAE26KF188808
79999,15887,Long-Range,2019,5YJXCAE28KF181262
89851,5661,Long-Range,2020,5YJXCAE23LF248352
63977,38785,P90D,2016,5YJXCBE46GF006541
62499,44913,P90D,2016,5YJXCBE45GF003159
65999,24040,P90D,2016,5YJXCAE49GF000551
49995,80713,P90D,2016,5YJXCAE47GF000211
56999,61194,P90D,2016,5YJXCAE45GFS00374
59888,49739,P90D,2016,5YJXCAE44GF002174
64580,25334,P90D,2016,5YJXCAE47GFS00196
56990,58000,P90D,2016,5YJXCAE43GF006278
59995,49198,P90D,2016,5YJXCAE42GF003601
69980,23945,P90D,2016,5YJXCBE47GF000683
72990,8454,P90D,2016,5YJXCBE40GF027191
59999,41382,P90D,2016,5YJXCAE47GF006901
66001,44644,P90D,2016,5YJXCBE47GFS00477
63995,54422,P90D,2016,5YJXCAE45GF003737
60990,66671,P90D,2016,5YJXCAE4XGF006830
58977,56796,P90D,2016,5YJXCBE44GF006893
59995,72225,P90D,2016,5YJXCAE43GF002408
64150,32880,P90D,2016,5YJXCBE47GF016351
63997,46121,P90D,2016,5YJXCAE41GF010782
65950,38152,P90D,2016,5YJXCAE46GF001155
62450,46584,P90D,2016,5YJXCBE42GFS00662
61498,56464,P90D,2016,5YJXCAE45GFS00746
63794,50365,P90D,2016,5YJXCAE44GFF00068
78000,31926,P90D,2016,5YJXCBE41GF020461
69995,24270,P90D,2016,5YJXCBE48GF006489
70995,31923,P90D,2016,5YJXCAE46GF000944
73800,9380,P90D,2016,5YJXCAE45GF001079
58995,52629,P90D,2016,5YJXCAE46GF004444
65000,97000,P90D,2016,5YJXCBE44GF015948
57959,45665,P90D,2016,5YJXCBE4XGF014402
66500,58301,P90D,2016,5YJXCAE40GFS00329
45000,85332,P90D,2016,5YJXCAE43GF003204
66000,12580,P90D,2016,5YJXCAE40GFS00752
78888,24147,P100D,2017,5YJXCAE48HF079499
66990,47189,P100D,2016,5YJXCDE48GF026415
95995,9303,P100D,2019,5YJXCDE46KF207084
98000,8234,P100D,2019,5YJXCAE41KF150579
85988,20108,P100D,2017,5YJXCBE43HF063880
77921,16529,P100D,2017,5YJXCDE47HF070455
73999,35754,P100D,2017,5YJXCBE46HF051769
70901,63937,P100D,2017,5YJXCBE45HF042156
89990,20872,P100D,2018,5YJXCDE46JF081100
85999,18653,P100D,2017,5YJXCBE40HF067952
89989,18184,P100D,2018,5YJXCBE42JF090090
84998,31464,P100D,2018,5YJXCAE46JF100484
121465,10791,P100D,2019,5YJXCBE49KF204992
84997,29131,P100D,2017,5YJXCBE44HF051690
91498,10881,P100D,2017,5YJXCBE48HF023679
76700,34508,P100D,2017,5YJXCDE45HF038233
89561,21500,P100D,2018,5YJXCAE48JF143384
87000,22764,P100D,2018,5YJXCBE48JF103845
89988,4686,P100D,2017,5YJXCBE46HF037886
75999,47959,P100D,2016,5YJXCBE45GF020849
92788,12751,P100D,2018,5YJXCBE48JF081197
86990,20336,P100D,2018,5YJXCBE40JF142980
79999,54992,P100D,2017,5YJXCBE48HF051868
87995,21641,P100D,2017,5YJXCAE41HF051494
98588,11789,P100D,2018,5YJXCBE4XJF142906
77996,50547,P100D,2018,5YJXCBE40JF081176
98218,20535,Performance,2020,5YJXCBE49LF246242
99933,6350,Performance,2020,5YJXCAE40LF250240
99500,21167,Performance,2019,5YJXCBE4XKF183053
98991,11797,Performance,2019,5YJXCDE40KF182070
98999,7892,Performance,2020,5YJXCBE42LF238631
99000,22545,Performance,2020,5YJXCBE40LF234500
99900,20754,Performance,2020,5YJXCDE49LF263313
101995,11293,Performance,2020,5YJXCAE42LF243970
97900,17126,Performance,2019,5YJXCBE48KF181690
115000,13090,Performance,2020,5YJXCDE42LF232050
119997,2928,Performance,2020,5YJXCBE41LF235638
129900,1500,Performance,2020,5YJXCBE4XLF303323
99900,21669,Performance,2019,5YJXCBE46KF187116
112500,9248,Performance,2020,5YJXCBE45LF240146
117995,7278,Performance,2020,5YJXCBE40LF280358
109995,9237,Performance,2019,5YJXCBE49KF161528
114995,7936,Performance,2020,5YJXCBE48LF274131
119990,19998,Performance,2019,5YJXCDE42KF193247
117995,8121,Performance,2020,5YJXCBE4XLF239784
99990,18394,Performance,2019,5YJXCBE41KF183054
95895,16393,Performance,2019,5YJXCBE44KF181279
109997,9106,Performance,2020,5YJXCAE40LF280645
52995,61307,60D,2016,5YJXCBE25GF018999
53500,35152,60D,2016,5YJXCBE21GF017199
53966,18182,60D,2016,5YJXCDE29GF026664
54880,23228,60D,2016,5YJXCBE27GF019779
53950,35789,60D,2016,5YJXCAE24GF015537
60700,42762,60D,2016,5YJXCAE28GF002631
55999,47920,60D,2016,5YJXCBE23GF016975
83850,5450,Standard,2019,5YJXCAE2XKF192702
77150,16307,Standard,2019,5YJXCDE22KF184630
73148,12697,Unspecified,2018,5YJXCBE25JF120231
65999,13887,Unspecified,2018,5YJXCDE25JF128471
62499,38590,Unspecified,2016,5YJXCBE40GF000685
68553,14831,Unspecified,2017,5YJXCBE22HF079552
57400,33546,Unspecified,2016,5YJXCBE23GF017527
77700,15288,Unspecified,2018,5YJXCDE47JF138355
56999,31189,Unspecified,2016,5YJXCBE26GF030935
79991,37358,Unspecified,2018,5YJXCDE27JF101854
63991,29432,Unspecified,2016,5YJXCAE24GF002108
63798,39150,Unspecified,2017,5YJXCBE2XHF067987
65995,12424,Unspecified,2016,5YJXCAE49GF003627
92799,24649,Unspecified,2018,5YJXCBE47JF142975
