Price,Miles
36000,39406
50995,11102
35427,23470
48500,7645
41500,38383
43000,30791
47500,13447
53000,33482
35990,25024
36480,22371
41000,28243
46500,38797
45495,21441
36990,7310
38980,6232
36980,14281
52296,10202
36590,7680
36990,26036
35980,5777
42999,13789
37990,3983
36990,8905
35480,14461
39996,19594
47990,8364
37990,13905
44985,8004
53953,6306
43977,9156
36996,21214
36980,17615
49995,20163
45900,16526
34980,43198
38990,10116
40000,38151
36995,23450
48788,15153
39999,13122
49977,28744
46942,33151
47999,8830
53450,25786
43980,22724
38500,23526
37900,8243
39999,9700
42980,8557
38480,11204
42980,16657
35990,36851
42980,12434
38500,20945
45480,20504
40808,5262
46590,6615
46590,6615
35998,44197
42761,21124
40988,1200
40995,12677
47500,11481
45991,8317
43488,25385
39998,11931
36525,12707
36500,23513
37599,17632
36479,11382
39299,3691
38949,7469
36999,28795
38000,31998
43000,2642
37299,20274
42495,10418
63880,6714
39999,6862
35990,23782
47499,3180
40500,19039
43990,7039
45999,19766
45988,4575
42999,8394
36563,43885
45175,8762
39987,7472
38991,10669
43999,7214
37995,27381
44995,15335
45814,9540
40687,11210
47997,6724
38699,18778
48298,8608
48500,28005
