Price,Miles
41500,18951
41499,22914
45480,20504
42299,15125
41241,8992
39981,5415
50950,17859
47000,3615
37992,25184
36992,41028
50200,6661
44943,4689
47800,16965
49995,16744
44000,6779
39900,8405
51951,3923
41880,4288
51950,10262
44890,1600
39990,14945
37995,47924
51137,8214
34000,22244
42900,1228
49999,7922
40995,12677
44495,11734
44690,19731
36628,36182
42999,29070
47000,13969
42497,20567
34597,6439
41466,8344
50995,11102
34997,8443
47500,11481
49921,16369
55000,7795
52995,1456
35900,37469
35998,16286
44798,8659
39000,17698
44500,5583
40700,18370
43995,31311
36590,12432
35990,17887
48999,20826
45995,13188
38596,825
41099,24565
36999,30206
32498,35000
48500,7645
47500,13447
41500,38383
43000,30791
53091,17628
53000,33482
45991,8317
43990,30017
40495,29867
44830,30770
49995,51397
38989,32891
45990,4063
43878,16726
33990,47215
33980,26982
34990,17372
35990,17647
47500,14329
50495,19014
45995,18593
44995,8414
57074,8012
44899,28991
36480,26499
41260,20086
38990,19227
38981,12001
32992,27842
49995,20163
46500,38797
53953,6306
43977,9156
39950,17162
42980,12434
39900,11507
41992,19356
40992,28170
45495,21441
45999,25882
35990,36851
40990,12071
34988,28464
44998,9858
35480,18880
38500,23526
43990,11828
34990,31478
42991,24649
45980,18469
52490,12249
35999,18174
38985,12639
40480,35244
33980,60016
42000,16767
35980,36539
51994,10728
41988,33575
39990,3835
44990,15655
35989,20414
42761,21123
38695,36948
48997,6528
40988,1200
44000,28974
49995,14438
43488,25385
37000,22930
41595,16992
39998,11931
41956,23359
36525,12707
37599,17632
36479,11382
39299,3691
38949,7469
36999,28795
38000,31998
43000,2642
35995,39378
38599,17369
44057,8762
42995,10418
45999,19766
63880,6714
39999,6862
35990,23782
47499,3180
40500,19039
43990,7039
37074,43885
44990,24902
45988,4575
39987,7472
42999,8394
43999,7214
42999,23274
37995,27381
40687,11210
