Price,Miles,Trim,Year
37954,13788,Standard,2020
37999,9863,Standard,2020
39990,3526,Standard,2020
36990,9727,Standard,2019
36500,22999,Standard,2019
37992,17902,Standard,2019
34900,46847,Standard,2019
39990,7130,Standard,2020
39990,5030,Standard,2020
36480,17787,Standard,2019
37187,13642,Standard,2019
38990,3596,Standard,2019
35990,23590,Standard,2019
36999,11285,Standard,2019
39989,9581,Standard,2019
42950,7750,Standard,2019
37994,24104,Standard,2019
41999,5676,Standard,2019
37990,17755,Standard,2020
37990,12383,Standard,2020
41888,2568,Standard,2021
36954,15384,Standard,2019
37600,26973,Standard,2019
39880,30800,Standard,2020
38450,2342,Standard,2020
38900,5200,Standard,2020
36480,9906,Standard,2020
41783,6705,Standard,2020
38995,7220,Standard,2020
40990,7027,Standard,2020
36990,27166,Standard,2020
44995,6770,Standard,2019
39990,10130,Standard,2020
39999,21197,Standard,2019
37980,10379,Standard,2020
41990,20588,Standard,2020
39990,3846,Standard,2020
36998,19786,Standard,2019
42991,6571,Standard,2020
36995,28562,Standard,2020
37953,23869,Standard,2020
37999,4064,Standard,2020
44450,7930,Standard,2020
36990,23024,Standard,2019
36990,17901,Standard,2019
42995,9660,Standard,2020
33990,34017,Standard,2019
36590,37124,Standard,2019
36999,9752,Standard,2019
36928,2703,Standard,2020
35990,26551,Standard,2019
37990,7993,Standard,2019
40995,2218,Standard,2021
35990,17603,Standard,2019
39895,1131,Standard,2021
36980,1296,Standard,2020
36999,5353,Standard,2020
45980,18086,Performance,2018
45750,21200,Performance,2018
52000,2557,Performance,2021
49900,20974,Performance,2019
52999,3900,Performance,2020
41000,42640,Performance,2019
52001,11154,Performance,2019
49944,5977,Performance,2019
45918,22711,Performance,2019
51897,19032,Performance,2020
50250,10202,Performance,2020
52469,10282,Performance,2020
48999,17807,Performance,2018
45998,35968,Performance,2020
49730,24250,Performance,2020
46500,18315,Performance,2019
61595,19396,Performance,2020
39590,15270,Performance,2020
47300,33143,Performance,2018
49900,16520,Performance,2018
54995,3966,Performance,2020
49995,24500,Performance,2019
49985,21231,Performance,2020
44980,32353,Performance,2018
49999,32210,Performance,2018
37988,27793,Mid-Range,2018
37900,9914,Mid-Range,2019
37590,16440,Mid-Range,2019
38988,6277,Mid-Range,2018
36700,14095,Mid-Range,2018
35950,21319,Mid-Range,2018
35480,11449,Mid-Range,2018
37000,19545,Mid-Range,2018
34980,27527,Mid-Range,2018
37230,15345,Mid-Range,2018
37990,14709,Mid-Range,2019
36954,17333,Mid-Range,2018
36990,11625,Mid-Range,2019
39991,5541,Mid-Range,2019
36995,24490,Mid-Range,2019
39511,3266,Mid-Range,2019
35355,33242,Mid-Range,2019
37590,14200,Mid-Range,2019
39999,7029,Mid-Range,2018
37990,25934,Mid-Range,2018
34799,44000,Mid-Range,2019
35995,16404,Mid-Range,2018
36990,22366,Mid-Range,2018
37999,19379,Mid-Range,2018
37995,39925,Mid-Range,2018
35450,13510,Unspecified,2018
36694,32162,Unspecified,2019
39981,19854,Unspecified,2019
37229,28750,Unspecified,2019
38490,40853,Unspecified,2018
39658,34881,Unspecified,2018
40669,34683,Unspecified,2018
39080,14473,Unspecified,2019
44990,23411,Unspecified,2018
35711,18961,Unspecified,2019
38495,34485,Unspecified,2019
39999,21810,Unspecified,2018
42598,12051,Unspecified,2018
39500,7680,Unspecified,2020
35799,18248,Unspecified,2018
36900,30479,Unspecified,2019
44995,17882,Unspecified,2018
43481,22371,Unspecified,2018
37598,7854,Unspecified,2019
38488,31302,Unspecified,2019
42928,25834,Unspecified,2018
34746,35503,Unspecified,2018
39499,11947,Unspecified,2020
37990,14406,Unspecified,2019
36480,21163,Unspecified,2018
34730,42823,Unspecified,2018
38990,34863,Unspecified,2019
44990,42725,Unspecified,2018
41799,15154,Unspecified,2019
38983,17015,Unspecified,2018
36500,39094,Unspecified,2018
40000,23179,Unspecified,2019
40990,11972,Unspecified,2019
39698,24228,Unspecified,2018
37798,21382,Unspecified,2019
38210,26265,Unspecified,2018
43482,23709,Unspecified,2018
39995,12178,Unspecified,2020
37989,20588,Unspecified,2018
39448,12505,Unspecified,2019
35730,18763,Unspecified,2018
35980,23981,Unspecified,2018
32980,53217,Unspecified,2018
36299,15977,Unspecified,2018
39981,19854,Unspecified,2019
46500,16418,Unspecified,2019
40731,13200,Unspecified,2020
48500,20495,Unspecified,2019
36950,36837,Unspecified,2019
41000,1861,Unspecified,2020
39425,8229,Unspecified,2020
35480,34895,Unspecified,2018
44000,18118,Unspecified,2018
37995,18206,Unspecified,2019
44419,22069,Unspecified,2019
38988,9089,Unspecified,2020
43924,19983,Unspecified,2019
44995,30251,Unspecified,2018
39000,9552,Unspecified,2018
38990,5320,Unspecified,2020
46580,4944,Unspecified,2020
47980,8857,Unspecified,2019
43997,28251,Unspecified,2019
44898,13385,Unspecified,2019
44906,11521,Unspecified,2019
47990,15439,Unspecified,2019
44981,3487,Unspecified,2020
49500,21092,Unspecified,2019
40900,5135,Unspecified,2020
47228,14595,Unspecified,2018
45963,5090,Unspecified,2018
44999,8299,Unspecified,2019
41500,18998,Unspecified,2019
39877,15994,Unspecified,2019
38988,8058,Unspecified,2019
36689,35901,Unspecified,2018
43994,21639,Unspecified,2018
38800,51715,Unspecified,2018
44988,31182,Unspecified,2019
47800,16965,Unspecified,2019
48850,6661,Unspecified,2019
46990,12781,Unspecified,2019
36995,55614,Unspecified,2018
35499,39445,Unspecified,2019
35980,53397,Unspecified,2018
46092,26279,Unspecified,2018
44000,6779,Unspecified,2020
47800,6196,Unspecified,2018
38918,49110,Unspecified,2018
39998,20657,Unspecified,2019
50898,5422,Unspecified,2019
47910,16476,Unspecified,2019
48997,10879,Unspecified,2019
37000,35309,Unspecified,2018
36750,28435,Unspecified,2018
38490,14256,Unspecified,2018
43900,9236,Unspecified,2020
37889,39562,Unspecified,2017
37983,30546,Unspecified,2018
47777,30703,Unspecified,2019
41692,20124,Unspecified,2018
38893,16494,Unspecified,2019
39277,10756,Unspecified,2017
45941,15502,Unspecified,2019
43500,28754,Unspecified,2018
36990,11107,Unspecified,2019
42195,29473,Unspecified,2018
41500,38383,Unspecified,2018
48499,13799,Unspecified,2019
47403,19618,Unspecified,2018
45995,23272,Unspecified,2019
38997,14858,Unspecified,2019
42500,18203,Unspecified,2018
46000,20498,Unspecified,2019
46610,6386,Unspecified,2019
47547,20513,Unspecified,2019
37985,28953,Unspecified,2018
57998,14517,Unspecified,2019
39402,5311,Unspecified,2020
40995,19607,Unspecified,2018
